docid	exp_genres	date	author	title	origgenres	origsubjs	remove
inu.39000005582288	folklore	1987.0	VanEtten, Teresa	Ways of Indian wisdom : | stories / | $c: retold by Teresa VanEtten.		Indians of North America|Southwest, New|Folklore|Pueblo Indians	 
inu.39000005594994	fairy tales|folklore	1987.0		Fairy tales from Czechoslovakia / | $c: by Božena Něncová ; translated by Ludmila Ondrůjová.		Folklore|Fairy tales|Slovakia	 
inu.39000000079454	tales	1987.0		Japanese tales / | $c: selected, edited, and translated by Royall Tyler.	Bibliographies	Tales|Japan	 
pst.000014156946	mystery and detective fiction	1987.0		Prime suspects / | $c: edited by Bill Pronzini and Martin H. Greenberg.		Detective and mystery stories, American	 
pst.000043942015	historical fiction	1987.0	Kim, Ronyoung	Clay walls :  | a novel / | $c: by Kim Ronyoung.		Korean Americans|History	 
pst.000017893329	short stories	1987.0		The Substance of things hoped for : | fiction and faith : outstanding modern short stories / | $c: selected with an introduction by John B. Breslin.		Short stories|Catholic authors	 
uc1.$b87234	historical fiction	1951.0	Davis, Burke	The ragged ones.		Revolution, 1775-1783|History	 
uc2.ark+=13960=t3707xt9q	mystery and detective fiction	1908.0	Rinehart, Mary Roberts	The circular staircase		Detective and mystery stories	 
uc1.$b104440	war stories	1951.0	Ebert, Virginia	Broken image.		World War, 1939-1945	 
uc1.32106007737270	love stories	1987.0	Haley, Susan Charlotte	Getting married in Buffalo Jump / | $c: Susan Haley.		Man-woman relationships	 
uc1.$b106032	random	1951.0	Tomkins, Calvin	Intermission, | a novel.			 
uc1.$b106263	random	1951.0	Morris, Donald R	China station.			 
uc1.$b114458	mystery and detective fiction	1951.0		20 great tales of murder, | $c: by experts of the Mystery Writers of America. Edited by Helen McCloy and Brett Halliday [pseud.] Pref. by Baynard Kendrick.		Detective and mystery stories	 
uc2.ark+=13960=t23b6365b	short stories	1908.0	Gautier, Théophile	Stories	Short stories		 
uc1.b3541062	mystery and detective fiction	1951.0	Bond, Raymond Tostevin	Handbook for poisoners, | a collection of famous poison stories; selected, with an introd. on poisons.		Poisons|Detective and mystery stories	 
uc1.32106007976571	mystery and detective fiction	1987.0	Friedman, Kinky	A case of Lone Star / | $c: Kinky Friedman.		Private investigators	 
uc1.32106008232248	historical fiction	1987.0	Deighton, Len	Winter : | a Berlin Family, 1899-1945 / | $c: Len Deighton.		1918-1945|Family|Germany|Berlin|History	 
uc1.32106008082296	historical fiction	1987.0	Maino, Jeannette Gould	Left hand turn : | a story of the Donner Party women / | $c: by Jeannette Gould Maino.	Bibliographies	1846-1850|Donner Party|History	 
uc2.ark+=13960=t1jh3v38w	humor	1908.0		Caricature		American wit and humor	 
uc1.32106018248044	mystery and detective fiction	1982.0	Grafton, Sue	A is for alibi : | a Kinsey Millhone mystery / | $c: by Sue Grafton.	Detective and mystery stories	Women detectives|Millhone, Kinsey (Fictitious character)|California	 
uc1.32106012261688	mystery and detective fiction	1987.0	Zaremba, Eve	Beyond hope / | $c: by Eve Zaremba		British Columbia|Lesbians|Keremos, Helen (Fictitious character)|Detective and mystery stories	 
wu.89073603573	random	1987.0	Huston, Nancy	The story of Omaya / | $c: Nancy Huston.			 
nyp.33433043308331	historical fiction	1908.0	Alsbury, Edward Plummer	Guy Raymond, | a story of the Texas revolution.		History|Revolution, 1835-1836	 
nyp.33433068184278	legends	1908.0	Clarke, Helen Archibald	A guide to mythology / | $c: by Helen A. Clarke.		Mythology|Legends	 
nyp.33433082530811	western stories	1908.0	Ellis, Edward Sylvester	The story of Red Feather : | a tale of the American frontier / | $c: by Edward S. Ellis.	Juvenile audience	Dakota Indians|Minnesota|Frontier and pioneer life	 
pst.000017121316	random	1976.0	Queneau, Raymond	Pierrot mon ami : | Raymond Queneau ; translated from the French by Barbara Wright ; preface by the translator ; afterword by Inez Hedges.			 
nyp.33433082289251	historical fiction	1908.0	Tomlinson, Everett T. (Everett Titsworth)	Mad Anthony's young scout; | a story of the winter of 1777-78, | $c: by Everett T. Tomlinson.		Revolution, 1775-1783|History	 
nyp.33433082170337	historical fiction|war stories	1908.0	Agnus, Felix	A woman of war and other stories / | $c: by Felix Agnus ; illustrations by Willis H. Thorndike.		History|Civil War, 1861-1865	 
mdp.39015063920923	autobiography	1860.0	Eliot, George	The mill on the floss, | $c: by George Eliot.	Autobiography|Bibliographies	Eliot, George|English literature|1819-1880	 
nyp.33433076087950	psychological fiction|love stories	1860.0	Hawthorne, Nathaniel	The marble faun or, The romance of Monte Beni / | $c: by Nathaniel Hawthorne.	Psychological fiction|Love stories	Italy|Murder|Nobility|Fastadd|Women art students|History and criticism|Readers|Americans|American literature|Artists	 
nyp.33433076087943	psychological fiction|love stories	1860.0	Hawthorne, Nathaniel	The marble faun or, The romance of Monte Beni / | $c: by Nathaniel Hawthorne.	Psychological fiction|Love stories	Italy|Murder|Nobility|Fastadd|Women art students|History and criticism|Readers|Americans|American literature|Artists	 
uc1.$b392998	war stories	1951.0	Merle, Robert	Weekend at Dunkirk. | $c: Translated from the French by K. Rebillon-Lambely.		World War, 1939-1945	 
inu.30000010356065	historical fiction	1860.0	Ilsley, Charles P. (Charles Parker)	The wrecker's daughter: | and other tales of the forest, the shore, and the ocean. | $c: By Charles P. Ilsley.		Revolution, 1775-1783|King George's War, 1744-1748|History|French and Indian War, 1755-1763|History	 
nyp.33433076046014	historical fiction	1908.0	Miller, Elizabeth Jane	The city of delight : | a love drama of the siege and fall of Jerusalem / | $c: by Elizabeth Miller ; with illustrations by F.X. Leyendecker.		Siege, 70 A.D|History	 
uc1.b3325219	western stories|random	1860.0	Thompson, Daniel P. (Daniel Pierce)	Gaut Gurley; | or, The trappers of Umbagog. A tale of border life. | $c: by D. P. Thompson.		Maine|Frontier and pioneer life	 
nyp.33433076060783	random	1860.0	Warfield, Catherine Ann (Catherine Ann Ware)	The household of Bouverie : | or, the elixir of gold / | $c: a romance, by a southern lady.			 
nyp.33433075756753	tales	1860.0	Uncle Merry	Merry's book of travel and adventure, | $c: edited by Uncle Merry.	Juvenile audience	Juvenile literature|Tales|Chocurua, legendary Indian chief	 
uc1.$b474752	random|humor	1987.0	Curley, Daniel	Mummy / | $c: Daniel Curley.	Humorous stories	Mexico|Mummies|Guanajuato	 
uc1.$b296662	folklore	1860.0	Campbell, J. F. (John Francis)	Popular tales of the west Highlands		Scotland|Tales, Gaelic|English literature|Scottish Gaelic literature|Folklore|Translations from Gaelic|Translations into English|Highlands	 
uiuo.ark+=13960=t8w967b76	historical fiction	1951.0	Belting, Natalia Maree	Pierre of Kaskaskia, | pioneer boy of New France; | $c: illustrated by Paul Busch.		To 1808|History	 
uc1.b3578731	historical fiction	1860.0	Clemens, Jeremiah	The rivals; | a tale of the times of Aaron Burr and Alexander Hamilton. | $c: By Hon. Jere. Clemens.		Burr, Aaron|Revolution, 1775-1783|1756-1836|Hamilton, Alexander|History|1757-1804	 
pst.000015315670	ghost stories	1987.0		Voices from the vaults : | authentic tales of vampires and ghosts / | $c: edited by Devendra P. Varma.		Vampires|Ghost stories	 
uiuo.ark+=13960=t5bc48x1g	mystery and detective fiction	1860.0	Collins, Wilkie	The woman in white	Great Britain|Bibliographies|Mystery and detective fiction|Romantic suspense novels	823C69W1860|Psychiatric hospital patients|English fiction|Nobility|Inheritance and succession|Social life and customs|Country homes|Deception|19th century|Art teachers	 
njp.32101068581576	mystery and detective fiction	1860.0	Collins, Wilkie	The woman in white / | $c: by Wilkie Collins.	Great Britain|Bibliographies|Mystery and detective fiction|Romantic suspense novels	823C69W1860|Psychiatric hospital patients|English fiction|Nobility|Inheritance and succession|Social life and customs|Country homes|Deception|19th century|Art teachers	 
uiuo.ark+=13960=t0zp4bq6b	mystery and detective fiction	1860.0	Collins, Wilkie	The woman in white	Great Britain|Bibliographies|Mystery and detective fiction|Romantic suspense novels	823C69W1860|Psychiatric hospital patients|English fiction|Nobility|Inheritance and succession|Social life and customs|Country homes|Deception|19th century|Art teachers	 
pst.000031216432	random|science fiction	1987.0	Faust, Joe Clifford	A death of honor / | $c: Joe Clifford Faust.		Science fiction, American	 
pst.000065190975	humor	1951.0	Wodehouse, P. G., (Pelham Grenville)	The inimitable Jeeves / | $c: P.G. Wodehouse.	Humorous fiction	Wooster, Bertie (Fictitious character)|Valets|Jeeves (Fictitious character)|Single men	 
chi.090395479	historical fiction	1872.0	Putnam, George Palmer	The world's progress: | a dictionary of dates. With tabular views of general history and a historical chart. | $c: Edited by G. P Putnam.		History|Dictionaries|Chronology, Historical	 
uc2.ark+=13960=t9n302p00	historical fiction	1860.0	Whyte-Melville, G. J. (George John)	Holmby house		History|Great Britain|Civil War, 1642-1649	 
mdp.39015018646607	historical fiction	1986.0	Campobello, Nellie	Cartucho ; and, My mother's hands / | $c: by Nellie Campobello ; translated by Doris Meyer and Irene Matthews ; introduction by Elena Poniatowska.		Revolution, 1910-1920|History	 
osu.32435055407365	mystery and detective fiction	1951.0	Gardner, Erle Stanley	The case of the crooked candle / | $c: Erle Stanley Gardner.		Detective and mystery stories	 
uc1.b4362276	random	1988.0	Peets, Leonora	Women of Marrakech / | $c: Leonora Peets ; translated from the Estonian by Rein Taagepera ; with an introduction by Stephen W. Foster.	Bibliographies	Morocco|Women	 
osu.32435059318238	mystery and detective fiction	1951.0	Kane, Frank	Bullet proof / | $c: Frank Kane.	Detective and mystery stories	Liddell, Johnny (Fictitious character)	 
nyp.33433074873435	humor	1908.0	Lauder, Harry, Sir	Ten tales / | $c: by Harry Lauder.	Humorous fiction		 
osu.32435064493877	domestic fiction	1951.0	Ayer, Ethan	The enclosure / | $c: Ethan Ayer.	Domestic fiction|Religious fiction		 
nyp.33433074969027	mystery and detective fiction	1907.0	Oppenheim, E. Phillips (Edward Phillips)	The great secret, | $c: by E. Phillips Oppenheim ... with ten full-page illustrations.	Mystery fiction		 
mdp.39015055294352	random	1988.0	Nedreaas, Torborg	Music from a blue well / | $c: by Torborg Nedreaas ; translated by Bibbi Lee.			 
osu.32435063889471	mystery and detective fiction	1951.0	Williams, Charles	River girl / | $c: by Charles Williams.	Mystery fiction|Romantic suspense fiction		 
nnc1.50178353	historical fiction	1860.0	Batty, Beatrice	"Moravian life, or, An English girl's account of a Moravian settlement in the Black Forest / | $c: edited by the author of ""Mary Powell."""		Moravian Church|Germany|Moravians|History	 
osu.32435065345761	mystery and detective fiction	1951.0	Keene, Day	My flesh is sweet : | an original novel / | $c: by Day Keene.	Mystery fiction		 
osu.32435066354473	mystery and detective fiction	1951.0	Fischer, Bruno	Fools walk in / | $c: Bruno Fischer.	Mystery fiction		 
nyp.33433074816624	humor	1908.0	Agnew, Hustin	Pumpkin husks, | $c: by Hiram Hayseed [pseud.] yarns by the village cutups and hayseed Rubes; jokes as seen by the countryman.		American wit and humor	 
nyp.33433081959045	humor	1860.0	Kelvin, Kit	Kit Kelvin's kernels. | With illustrations.		American wit and humor	 
nyp.33433081937272	historical fiction	1860.0	Burdett, Charles	"Margaret Moncrieffe; the first love of Aaron Burr. | A romance of the Revolution. | $c: With an appendix containing the letters of Colonel Burr to ""Kate"" and ""Eliza,"" and from ""Leonora,"" etc., etc. By Charles Burdett ... With a facsimile of the celebrated cipher letter and key."		Burr, Aaron|Revolution, 1775-1783|United States|Mrs|Coghlan|(Margaret Moncrieffe)|1756-1836|History|Ciphers|History	 
nyp.33433074794441	random|humor	1860.0	Paul, Howard	The courtship and adventures of Jonathan Homebred; or, The scrapes and escapes of a live Yankee. | $c: By Howard Paul.		American wit and humor	 
nyp.33433076042625	historical fiction	1860.0	Thompson, Daniel P. (Daniel Pierce)	"The doomed chief; | or, Two hundred years ago. | $c: By the author of ""The Green Mountain boys"" ... etc., etc."		History|King Philip's War, 1675-1676|Colonial period, ca. 1600-1775	 
mdp.39015030741428	historical fiction|war stories	1952.0	Crabb, Alfred Leland	Home to Tennessee; | a tale of soldiers returning.		History|Civil War, 1861-1865	 
nyp.33433074919352	historical fiction	1860.0	Ainsworth, William Harrison	Ovingdean Grange, | a tale of the South Downs. | $c: By William Harrison Ainsworth.		History|Charles II, 1660-1685	 
mdp.39015012429844	historical fiction	1988.0	Smiley, Jane	The Greenlanders / | $c: Jane Smiley.	Epic literature	History	 
nyp.33433074899000	historical fiction	1860.0	Manning, Anne	The colloquies of Edward Osborne, citizen and clothworker, of London. | $c: By ye author of Mary Powell.		1530?-1591|London (England)|History|16th century|Osborne, Edward	 
mdp.39015002672551	random	1952.0	Lewis, C. S. (Clive Staples)	The voyage of the Dawn Treader / | $c: by C.S. Lewis ; with illustrations by Pauline Baynes.			 
nyp.33433074864269	random	1860.0	Graham, George	Carstone rectory. | A story. | $c: By George Graham ...		English fiction	 
nyp.33433075767602	random	1860.0	Whitty, Edward Michael	The Bohemians of London. | $c: With a notice of the author, by R. Shelton Mackenzie.		English fiction	 
nyp.33433075812358	western stories	1860.0	Aimard, Gustave	The Indian scout : | or, Life on the frontier / | $c: by Gustave Aimard ; [translated by Lascelles Wraxall].		Indians of North America|United States|Frontier and pioneer life|French fiction	 
nyp.33433075812366	western stories	1860.0	Aimard, Gustave	The insurgent chief. | $c: [Translated by L. Wraxall]		French fiction|United States|Frontier and pioneer life	 
nyp.33433082302674	historical fiction	1908.0	Fitzhugh, Percy Keese	The galleon treasure / | $c: by Percy K. Fitzhugh.		d. 1724|History|Low, Edward|Colonial period, ca. 1600-1775	 
nyp.33433075859359	historical fiction	1860.0	Azeglio, Massimo d'	Niccolò dei Lapi; | or, The last days of the Florentine republic. | $c: Tr. from the Italian of Massino d'Azeglio, by H. Hallet.		History|1492-1559	 
uiuo.ark+=13960=t9b573c1d	random	1860.0	MacCabe, William Bernard	Agnes Arnold			 
mdp.39015002317678	random	1952.0	Mitford, Nancy	Pigeon pie.			 
mdp.39015009048219	war stories	1952.0	Hameiri, Avigdor	The great madness; | $c: authorized translation from the Hebrew original by Jacob Freedman.		World War, 1914-1918	 
mdp.39015017666226	historical fiction|war stories	1988.0	Stein, André	Quiet heroes : | true stories of the rescue of Jews by Christians in Nazi-occupied Holland / | $c: André Stein.		Rescue|Underground movements|German occupation, 1940-1945|Jews|History|Personal narratives, Dutch|World War, 1939-1945|Netherlands	 
mdp.39015005583565	short stories	1988.0		Gringos in Mexico : | an anthology / | $c: edited by Edward Simmen.		Mexico|American fiction|Americans|Short stories, American|19th century|20th century	 
uc2.ark+=13960=t48p5zg8w	historical fiction	1908.0	J????kai, M????r	The baron's sons;		Hungary|Uprising of 1848-1849|History	 
uc1.$b379892	tales	1894.0	Day, Lal Behari	Folk-tales of Bengal, | $c: by the Rev. Lal Behari Day ...		Bengal|India|Tales, Bengali|Folk-lore, Bengali|Tales	 
njp.32101027913449	historical fiction	1860.0		The Sepoy's daughter: | a true tale of the Indian War. | $c: By an eye witness.		History|Sepoy Rebellion, 1857-1858	 
uc1.b4402423	random	1988.0	Hoover, Paul	Saigon, Illinois / | $c: Paul Hoover.			 
mdp.39015046434307	historical fiction	1936.0	Ostrovsky, Nikolay	How the steel was tempered; | a novel.		1881-1925|Revolution, 1917-1921|Kotovskiĭ, Grigoriĭ Ivanovich|Kotovskiĭ, Grigoriĭ Ivanovich|History	 
mdp.39015088611069	sea stories	1908.0		Runaways and castaways / | $c: edited by E.V. Lucas ; illustrations by F.D. Bedford.	Juvenile audience	Children's stories|Castaways|Runaways|Juvenile fiction	 
njp.32101068164290	random	1860.0		Robert Cushman; or, the rival students.			 
njp.32101068177813	historical fiction	1860.0	Denison, Mary A. (Mary Andrews)	The days and ways of the cocked hats: | or, The dawn of the revolution. | $c: By Mrs. Mary A. Denison.		Colonial period, ca. 1600-1775|History	 
njp.32101069163416	historical fiction	1860.0	Bennett, George	Bennett divorce case : | being a plain account of all the important facts brought out on the trial, and those connected with it  / | $c: by George Bennett ; with disclosures on the case by Edson Sanford.		United States|History|Divorce|19th century	 
uc2.ark+=13960=t9f47hq2x	random	1860.0		Merry's book of animals		Anecdotes|Animals	 
mdp.39015014319993	historical fiction	1988.0	Rybakov, Anatoliĭ Naumovich	Children of the Arbat / | $c: Anatoli Rybakov ; translated by Harold Shukman.		1917-1936|History	 
mdp.39015032634175	historical fiction	1988.0	Morales, Alejandro	The brick people / | $c: Alejandro Morales.		Simons Brick Factory|History	 
mdp.39076002631609	western stories	1908.0	Roosevelt, Wyn	The frontier boys in the Grand Canyon : | or, A search for treasure / | $c: by Capt. Wyn Roosevelt ; illustrated by S. Schneider.	Juvenile audience	Juvenile fiction|Frontier and pioneer life	 
mdp.39015012219229	tales	1952.0		African folktales & sculpture. | $c: [Folktales selected and edited by Paul Radin, with the collaboration of Elinore Marvel. Introd. to the tales by Paul Radin. Sculpture selected with an introd., by James Johnson Sweeney].	Bibliographies	Sculpture, African|Africa|Tales	 
uc1.$b247959	random	1952.0	Townsend, Peter	Cambridge anthology. | $c: Introd. by E. M. Forster.		College prose|Cambridge	 
uva.x030803794	random	1860.0	Tyng, Stephen H. (Stephen Higginson)	The captive orphan: | Esther, the Queen of Persia.		Esther|O.T|Queen of Persia|Bible|Commentaries	 
mdp.39076002604986	fairy tales|tales|folklore	1908.0	Griffis, William Elliot	The Fire-fly's lovers : | and other fairy tales of old Japan / | $c: William Elliot Griffis.		Juvenile literature|Tales|Folklore|Japan|Fairy tales	 
uc1.$b807239	random	1860.0	Cummins, Maria S. (Maria Susanna)	"El Fureidîs. | $c: By the author of ""The lamplighter"" and ""Mabel Vaughan."""	Bibliographies	American fiction	 
dul1.ark+=13960=t9f48bj01	science fiction	1860.0	Evans, W. F	The happy islands, or, Paradise restored		Utopias|Adams, Mary|Paradise|Provenance	 
dul1.ark+=13960=t6446bw7h	science fiction	1860.0		Esperanza : my journey thither and what I found there		Utopias|United States|Spiritualism|Free love	 
mdp.39015014892908	short stories	1988.0		Elements of fiction : | an anthology / | $c: edited by Robert Scholes & Rosemary Sullivan.		Short stories|19th century|20th century	 
mdp.39015024078589	historical fiction|love stories	1952.0	Costain, Thomas B. (Thomas Bertram)	The silver Chalice, | a novel.	Christian fiction|Love stories|Historical fiction	Historical of Biblical events|Jesus Christ|Bible|New Testament|Grail|Last Supper	 
mdp.39015019231508	random	1951.0	Vittorini, Elio	Conversation in Sicily / | $c: Elio Vittorini ; translated by Wilfrid David ; introduction by Sir Stephen Spender.			 
dul1.ark+=13960=t9r21mf2d	science fiction	1908.0	Benson, Robert Hugh, (Spirit)	Lord of the world		Utopias	 
mdp.39015004314079	fairy tales	1861.0	Andersen, H. C. (Hans Christian)	Danish fairy legends and tales. | $c: By Hans Christian Andersen. Tr. by Caroline Peachey. With a memoir of the author.	Juvenile audience	Fairy tales	 
pst.000057481869	random	1908.0	Hervey, Walter Lowrie	The Horace Mann readers / | $c: by W. L. Hervey and Melvin Hix.		Readers	 
uc1.b4104441	historical fiction	1861.0	Ruffini, Giovanni	Doctor Antonio.		Italy|History|History	 
mdp.39015027929887	western stories	1952.0	Hobson, Richmond P (Richmond Pearson)	Grass beyond the mountains; | discovering the last great cattle frontier on the North American Continent.		British Columbia|Discovery and exploration|Frontier and pioneer life|Cattle	 
uc1.$b182340	historical fiction	1861.0	Aimard, Gustave	The white scalper;		Texas|Revolution, 1835-1836|History	 
mdp.39015012982610	historical fiction	1952.0	Traven, B	The rebellion of the hanged; | translated from the Spanish.	Historical fiction	Tzotzil Indians|Peasant uprisings|Indians of Mexico|Plantation workers|Mahogany|Mexico, Southeast	 
uc1.b4365407	historical fiction	1988.0	Slavitt, David R	Salazar blinks / | $c: David Slavitt.		1910-1974|1889-1970|Salazar, António de Oliveira|History	 
njp.32101063603599	fairy tales	1861.0	Aunt, Fanny	"The big nightcap letters : | being the fifth book of the series  / | $c: by the author of the Six nightcap books, ""Aunt Fanny's stories"", etc., etc."	Juvenile audience|Fairy tales	Christian life|Conduct of life|Juvenile literature	 
njp.32101076515335	fairy tales	1861.0	Aunt, Fanny	"The fairy nightcaps / | $c: By the author of the five nightcap books, ""Aunt Fanny's stories,"" etc., etc."	Juvenile audience|Fairy tales		 
wu.89001431436	historical fiction	1908.0	Orczy, Emmuska Orczy, Baroness	The elusive pimpernel / | $c: by Baroness Orczy.		Revolution, 1789-1799|History	 
uc1.b3688004	historical fiction	1952.0	Bourne, Peter	Gateway to fortune / | $c: Peter Bourne.	Novel	History	 
dul1.ark+=13960=t9n30nm3k	random	1861.0	Hughes, Thomas	Brown and Arthur			 
nnc1.cu01580388	western stories	1861.0	Wildwood, Warren	Thrilling adventures among the early settlers, | embracing desperate encounters with Indians, Tories, and refugees; daring exploits of Texan rangers and others ... | $c: By Warren Wildwood ...		United States|Frontier and pioneer life	 
osu.32435053366498	science fiction	1952.0		Science fiction omnibus / | $c: edited by Groff Conklin.		Science fiction	 
mdp.39015055051919	short stories	1909.0	Wiggin, Kate Douglas Smith	Homespun tales / | $c: by Kate Douglas Wiggin ; with illustrations.		Short stories, American	 
uc1.b3609222	historical fiction	1909.0		The South in the building of the nation; | a history of the southern states designed to record the South's part in the making of the American nation; to portray the character and genius, to chronicle the achievements and progress and to illustrate the life and traditions of the southern people ...	Bibliographies	Southern States|Economic conditions|History|American literature|Biography	 
mdp.39015047761302	random	1988.0	Cohen, Robert	The organ builder / | $c: Robert Cohen.			 
inu.39000003613036	science fiction	1952.0	Bleiler, Everett Franklin	Science fiction omnibus: | The best science fiction stories, 1949, 1950, | $c: edited by Everett F. Bleiler ad T. E. Dikty. Introd. by Melvin Korshak.		Science fiction	 
mdp.39015014874955	war stories	1988.0	Gelblum-Bross, Roma	To Samarkand and back / | $c: by Roma Gelblum-Bross.		Poland|Refugees|World War, 1939-1945	 
nyp.33433082283817	random	1861.0	Sigourney, L. H. (Lydia Howard)	Olive leaves.	Juvenile audience	Children's stories, American	 
nyp.33433081613584	random|legends	1861.0	Forrester, Alfred Henry	Fairy footsteps; or, Lessons from legends. | $c: With one hundred illustrations, designed by Alfred Crowquill.		Legends	 
mdp.39015063549359	historical fiction	1909.0	Fox, John	The Kentuckians; | A knight of the Cumberland, | $c: by John Fox, jr.; illustrated by W. T. Smedley and F. C. Yohn.	Historical fiction	Social life and customs	 
mdp.39015014931086	sea stories	1928.0	Harlow, Frederick Pease	The making of a sailor, or, Sea life aboard a Yankee square-rigger / | $c: Frederick Pease Harlow.		Voyages and travels|Seafaring life|Harlow, Frederick Pease	 
mdp.39015033871651	war stories	1988.0	Anderson, Jim	Billarooby / | $c: Jim Anderson.		World War, 1939-1945	 
mdp.39015014496163	historical fiction	1988.0	Cooney, Eleanor	The court of the lion : | a novel of the Tʻang dynasty / | $c: Eleanor Cooney, Daniel Altieri.	Bibliographies	Tang dynasty, 618-907|Emperor of China|685-762|Tang Xuanzong|History	 
mdp.39015050598484	legends|folklore	1986.0	Kertonegoro, Madi	The spirit journey : | stories and paintings of Bali / | $c: Madi Kertonegoro ; introduction by Alice Walker.		Bali Island|Painting, Balinese|Folklore|Legends|Indonesia	 
uc2.ark+=13960=t21c1vd0j	fairy tales	1861.0		Favourite fairy tales		Fairy tales	 
uc1.$b312060	war stories	1952.0	Roy, Jules	The happy valley; | $c: translated from the French by Edward Owen Marsh, with a foreword by Robert Saundby.		World War, 1939-1945	 
dul1.ark+=13960=t91842h3v	historical fiction	1861.0	Desmos	Old Toney and his master, or, The abolitionist and the land-pirate		United States|1825-1829|Slavery|History	 
mdp.39015008386313	tales|folklore	1909.0	Ozaki, Yei Theodora	Warriors of old Japan and other stories. / | $c: Illustrated by Shusui Okakura and other Japanese artists.		Folklore|Japan|Tales	 
mdp.39015039630333	short stories	1988.0	Vogel, Julius	The mountain, other stories and a miscellany / | $c: Julius Vogel.		Short stories, American	 
mdp.39015014938768	short stories	1988.0		Reclaiming Medusa : | short stories by contemporary Puerto Rican women / | $c: edited and translated by Diana Vélez.		Puerto Rican fiction|Women authors|Short stories, English|Translations from Spanish|Translations into English|Short stories, Puerto Rican|20th century	 
uc2.ark+=13960=t8x924472	historical fiction	1862.0	Dalton, William	Phaulcon the adventurer ; or The Europeans in the East		Phaulkon, Constant|History|ca. 1648-1688|Thailand	 
mdp.39015020733997	tales	1909.0		Folk-lore and fable : | Aesop, Grimm, Andersen / | $c: with introductions and notes.		Tales|Fables	 
mdp.39015046435650	tales	1909.0		Folk-lore and fable : | Aesop, Grimm, Andersen / | $c: with introductions and notes.		Tales|Fables	 
mdp.39015049871091	legends	1909.0	Jackson, Florence	As old as the moon : | Cuban legends ; folklore of the Antillas / | $c: by Florence Jackson Stoddard.		Cuba|Legends	 
mdp.39015008009170	historical fiction	1862.0	Dumas, Alexandre	"Andrée de Taverney: or, The downfall of French monarchy. | Being the fianl conclusion of ""The memoirs of a physican,"" ""The queen's necklace,"" ""Six years later,"" and ""Countess of Charny."" | $c: By Alexandre Dumas. Tr. from the original French by Henry L. Williams."		Revolution, 1789-1799|History	 
wu.89095522280	folklore	1862.0	Bulfinch, Thomas	Legends of Charlemagne; | or, Romance of the middle ages.		742-814|Romances|Chivalry|Anecdotes|Literature, Medieval|Charlemagne|Folklore|Emperor|Adaptations|Europe	 
uc1.b3123810	random	1862.0	Houstoun, (Matilda Charlotte), Mrs	Recommended to mercy ...			 
njp.32101068973112	random	1862.0	Lawrence, George A. (George Alfred)	"Barren honour. | A tale. | $c: By the author of ""Guy Livingstone."""			 
uc2.ark+=13960=t7gq6vm7c	sea stories	1862.0		A Sailor-boy's log-book from Portsmouth to the Peiho		Voyages and travels|Seafaring life	 
nc01.ark+=13960=t7np2k34k	historical fiction|humor|war stories	1862.0	Newell, R. H. (Robert Henry)	The Orpheus C. Kerr papers		American wit and humor|United States|Civil War, 1861-1865|Impeachment|Caricatures and cartoons|Humorous poetry, American|1808-1875|History|Johnson, Andrew|Poetry|Humor	 
mdp.39015019770638	random	1988.0	Prose, Francine	Women and children first : | stories / | $c: Francine Prose.			 
mdp.39015015225264	love stories	1988.0	Brookner, Anita	The misalliance : | a novel / | $c: Anita Brookner.		Divorce|Women|Man-woman relationships	 
mdp.39015014974029	short stories	1988.0		To be made over : | tales of socialist reeducation in Vietnam / | $c: edited and translated by Huỳnh Sanh Thông.		Short stories, Vietnamese|Vietnam War, 1961-1975|Short stories, English|Personal narratives, Vietnamese|Communism|Brainwashing|Translations into English|Vietnam|Translations from Vietnamese	 
mdp.39015026244684	random	1909.0	Carmichael, Amy	Lotus buds.		India|Missions|Social life and customs|Children	 
nyp.33433074795083	historical fiction|war stories	1862.0	Wood, Benjamin	Fort Lafayette; | or, Love and secession. A novel, | $c: by Benjamin Wood.		History|Civil War, 1861-1865	 
mdp.39015015327748	random	1988.0	Marcus, David	Who ever heard of an Irish Jew?, and other stories / | $c: David Marcus.			 
miun.acr7517.0002.001	legends|folklore	1909.0	Sapir, Edward	Wishram texts, | $c: by Edward Sapir; together with Wasco tales and myths, collected by Jeremiah Curtin and ed. by Edward Sapir.		Tlakluit language|Texts|Wasco Indians|Tlakluit Indians|Legends|Chinookan Indians|Folklore|Chinookan languages	 
wu.89063597124	autobiography|historical fiction|war stories	1862.0	Gilmore, James R. (James Roberts)	Among the pines, or, South in secession-time / | $c: by Edmund Kirke.;	War stories	United States|Civil War, 1861-1865|Civil war, 1861-1865|Description and travel|Social life and customs|Slavery|History|Personal narratives|African Americans|19th century|North Carolina|History	 
nyp.33433074793948	random	1862.0	Cornwallis, Kinahan	Pilgrims of fashion. | A novel, | $c: by Kinahan Cornwallis.			 
mdp.39015078571406	imaginary voyages	1909.0	Burnett, Frances (Hodgson)	Barty Crusoe and his man Saturday / | $c: by Frances Hodgson Burnett.	Juvenile audience	Voyages, Imaginary	 
wu.89098854938	autobiography	1909.0	Churchill, Caroline M. Nichols	Active footsteps / | $c: by Caroline Nichols Churchill.	Autobiography	1833-|Churchill, Caroline M. Nichols	 
